word	file	lines
al	References.md	4
al	References.md	4
al	References.Rmd	4
Audiographer	About.Rmd	34
Audiographer	About.md	34
Audiographer	About.md	34
Audiographer	About.md	34
Audiography	About.Rmd	35
Audiography	About.md	35
Audiography	About.md	35
Audiography	About.md	35
Bian	About.Rmd	15
Bian	About.md	15
Bian	About.md	15
CDS	01-GARDE-architectural-overview.Rmd	22,29,39,41,105,106,108
CDS	01-GARDE-architectural-overview.md	20,27,37,39,103,104,106
CDS	01-GARDE-architectural-overview.md	20,27,37,39,103,104,106
chatbot	01-GARDE-architectural-overview.Rmd	135,143
chatbot	01-GARDE-architectural-overview.md	133,141
chatbot	01-GARDE-architectural-overview.md	133,141
Chatbot	01-GARDE-architectural-overview.Rmd	139
Chatbot	01-GARDE-architectural-overview.md	137
Chatbot	01-GARDE-architectural-overview.md	137
Chatbot	References.md	4
Chatbot	References.md	4
Chatbot	References.Rmd	4
chatbots	01-GARDE-architectural-overview.Rmd	63
chatbots	01-GARDE-architectural-overview.md	61
chatbots	01-GARDE-architectural-overview.md	61
colorectal	01-GARDE-architectural-overview.Rmd	41,79
colorectal	01-GARDE-architectural-overview.md	39,77
colorectal	01-GARDE-architectural-overview.md	39,77
conversional	01-GARDE-architectural-overview.Rmd	89
conversional	01-GARDE-architectural-overview.md	87
conversional	01-GARDE-architectural-overview.md	87
creativecommons	LICENSE.md	378,395
de	01-GARDE-architectural-overview.Rmd	129
de	01-GARDE-architectural-overview.md	127
de	01-GARDE-architectural-overview.md	127
DISCOVERABLE	LICENSE.md	286
doi	References.md	4
doi	References.md	4
doi	References.Rmd	4
EHR	01-GARDE-architectural-overview.Rmd	9,22,29,50,63,77,81,93,95,97,108,109,111,117,124,125,126,164
EHR	01-GARDE-architectural-overview.md	7,20,27,48,61,75,79,91,93,95,106,107,109,115,122,123,124,162
EHR	01-GARDE-architectural-overview.md	7,20,27,48,61,75,79,91,93,95,106,107,109,115,122,123,124,162
enforceability	LICENSE.md	359
et	References.md	4
et	References.md	4
et	References.Rmd	4
ETL	01-GARDE-architectural-overview.Rmd	164
ETL	01-GARDE-architectural-overview.md	162
ETL	01-GARDE-architectural-overview.md	162
FactDB	01-GARDE-architectural-overview.Rmd	150
FactDB	01-GARDE-architectural-overview.md	148
FactDB	01-GARDE-architectural-overview.md	148
faq	code_of_conduct.md	123
FHDaSL	index.Rmd	2
FHIR	01-GARDE-architectural-overview.Rmd	105,150
FHIR	01-GARDE-architectural-overview.md	103,148
FHIR	01-GARDE-architectural-overview.md	103,148
Fiol	About.Rmd	12
Fiol	About.md	12
Fiol	About.md	12
FirstName	About.md	12,111
Funder	About.Rmd	37
Funder	About.md	37
Funder	About.md	37
Funder	About.md	37
GARDE	01-GARDE-architectural-overview.Rmd	9,20,39,41,50,58,63,73,75,77,79,81,83,103,111,117,122,125,126,127,141,150,156,158,160,162,164
GARDE	02-GARDE-user-guide.Rmd	8,9,18
GARDE	01-GARDE-architectural-overview.md	7,18,37,39,48,56,61,71,73,75,77,79,81,101,109,115,120,123,124,125,139,148,154,156,158,160,162
GARDE	02-GARDE-user-guide.md	6,7,14
GARDE	index.md	2,16,18,22
GARDE	01-GARDE-architectural-overview.md	7,18,37,39,48,56,61,71,73,75,77,79,81,101,109,115,120,123,124,125,139,148,154,156,158,160,162
GARDE	02-GARDE-user-guide.md	6,7,14
GARDE	index.md	2,16,18,22
GARDE	index.Rmd	2,16,18,22
GARDE	README.md	3,10,11,12
GARDE's	01-GARDE-architectural-overview.Rmd	50
GARDE's	02-GARDE-user-guide.Rmd	7,10
GARDE's	01-GARDE-architectural-overview.md	48
GARDE's	02-GARDE-user-guide.md	5,8
GARDE's	index.md	22
GARDE's	01-GARDE-architectural-overview.md	48
GARDE's	02-GARDE-user-guide.md	5,8
GARDE's	index.md	22
GARDE's	index.Rmd	22
GARDE's	README.md	3
GARDE’s	01-GARDE-architectural-overview.Rmd	9,17,68,75,105,162,164
